lemma,cl
/NOUN,1
2012/NOUN,2
b/NOUN,3
e/NOUN,4
it-компания/NOUN,5
l/NOUN,6
n/NOUN,7
p/NOUN,8
r/NOUN,9
t-клетка/NOUN,10
web-сайт/NOUN,11
а/NOUN,12
абак/NOUN,13
аббат/NOUN,14
аббатство/NOUN,15
аббревиатура/NOUN,16
абзац/NOUN,17
абитуриент/NOUN,18
абонемент/NOUN,19
абонент/NOUN,20
абориген/NOUN,21
аборт/NOUN,22
абрек/NOUN,23
абсолют/NOUN,24
абсолютизм/NOUN,25
абсорбент/NOUN,26
абстрактность/NOUN,27
абстракция/NOUN,28
абсурд/NOUN,29
абсцесс/NOUN,30
абхаз/NOUN,31
авангард/NOUN,32
авангардист/NOUN,33
аванпост/NOUN,34
аванс/NOUN,35
авантюра/NOUN,36
авантюрист/NOUN,37
аварец/NOUN,38
аварийность/NOUN,39
авария/NOUN,40
аватар/NOUN,41
август/NOUN,42
авиабаза/NOUN,43
авиадвигатель/NOUN,44
авиазавод/NOUN,45
авиакатастрофа/NOUN,46
авиакомпания/NOUN,47
авиаконструктор/NOUN,48
авиалайнер/NOUN,49
авиалиния/NOUN,50
авианосец/NOUN,51
авиаперевозка/NOUN,52
авиаперевозчик/NOUN,53
авиаполк/NOUN,54
авиаразведка/NOUN,55
авиарейс/NOUN,56
авиасалон/NOUN,57
авиасимулятор/NOUN,58
авиастроение/NOUN,59
авиатехник/NOUN,60
авиатехника/NOUN,61
авиатор/NOUN,62
авиаудар/NOUN,63
авиация/NOUN,64
авитаминоз/NOUN,65
австралиец/NOUN,66
австро-венгр/NOUN,67
автаркия/NOUN,68
авто/NOUN,69
автобан/NOUN,70
автобиография/NOUN,71
автобус/NOUN,72
автовладелец/NOUN,73
автогигант/NOUN,74
автограф/NOUN,75
автодорога/NOUN,76
автодром/NOUN,77
автозавод/NOUN,78
автоклуб/NOUN,79
автокран/NOUN,80
автолюбитель/NOUN,81
автомагистраль/NOUN,82
автомат/NOUN,83
автоматизация/NOUN,84
автоматика/NOUN,85
автоматчик/NOUN,86
автомашина/NOUN,87
автомобилестроение/NOUN,88
автомобилестроитель/NOUN,89
автомобилист/NOUN,90
автомобиль/NOUN,91
автономия/NOUN,92
автономность/NOUN,93
автоответчик/NOUN,94
автопарк/NOUN,95
автопоезд/NOUN,96
автопробег/NOUN,97
автопроизводитель/NOUN,98
автопром/NOUN,99
автор/NOUN,100
авторизация/NOUN,101
авторитарность/NOUN,102
авторитет/NOUN,103
авторитетность/NOUN,104
авторство/NOUN,105
авторынок/NOUN,106
автосалон/NOUN,107
автоспорт/NOUN,108
автостоп/NOUN,109
автострада/NOUN,110
автотранспорт/NOUN,111
автотрасса/NOUN,112
автофургон/NOUN,113
авуары/NOUN,114
агент/NOUN,115
агентство/NOUN,116
агентура/NOUN,117
агитация/NOUN,118
агломерат/NOUN,119
агломерация/NOUN,120
агностик/NOUN,121
агония/NOUN,122
аграрий/NOUN,123
агрегат/NOUN,124
агрессивность/NOUN,125
