lemma,cl
/NOUN,1
aba/NOUN,2
abeceda/NOUN,3
absencia/NOUN,4
absolútno/NOUN,5
absurdnosť/NOUN,6
adaptácia/NOUN,7
administratíva/NOUN,8
administrátor/NOUN,9
adresa/NOUN,10
adresát/NOUN,11
advokátka/NOUN,12
afrodiziakum/NOUN,13
agent/NOUN,14
agentúra/NOUN,15
aikido/NOUN,16
akadémia/NOUN,17
akcent/NOUN,18
akcia/NOUN,19
akreditácia/NOUN,20
akrobat/NOUN,21
akrécia/NOUN,22
akt/NOUN,23
aktivita/NOUN,24
aktivizmus/NOUN,25
aktualizácia/NOUN,26
aktér/NOUN,27
aktívum/NOUN,28
akumulátor/NOUN,29
akvárium/NOUN,30
albed/NOUN,31
album/NOUN,32
albánčina/NOUN,33
aleja/NOUN,34
algebra/NOUN,35
aliancia/NOUN,36
alkaloid/NOUN,37
alkohol/NOUN,38
ambícia/NOUN,39
američan/NOUN,40
amputácia/NOUN,41
amulet/NOUN,42
analytik/NOUN,43
analýza/NOUN,44
angličtina/NOUN,45
anión/NOUN,46
anjel/NOUN,47
anketa/NOUN,48
anonym/NOUN,49
antika/NOUN,50
antropológia/NOUN,51
aparát/NOUN,52
apatia/NOUN,53
aplikovanie/NOUN,54
aplikácia/NOUN,55
apoštol/NOUN,56
apoštolát/NOUN,57
apríl/NOUN,58
arabčina/NOUN,59
archa/NOUN,60
archetyp/NOUN,61
architekt/NOUN,62
architektúra/NOUN,63
arché/NOUN,64
archív/NOUN,65
arcibiskup/NOUN,66
arcidiecéza/NOUN,67
arcivojvoda/NOUN,68
areál/NOUN,69
argument/NOUN,70
aristokracia/NOUN,71
armáda/NOUN,72
artritída/NOUN,73
asketizmus/NOUN,74
asociácia/NOUN,75
aspekt/NOUN,76
asteroid/NOUN,77
astrofyzika/NOUN,78
astronaut/NOUN,79
astronóm/NOUN,80
astronómia/NOUN,81
asymetria/NOUN,82
atentát/NOUN,83
atmosféra/NOUN,84
atrament/NOUN,85
atribút/NOUN,86
atóm/NOUN,87
august/NOUN,88
auto/NOUN,89
autobus/NOUN,90
autodidakt/NOUN,91
autograf/NOUN,92
automat/NOUN,93
automobil/NOUN,94
autonómia/NOUN,95
autor/NOUN,96
autorita/NOUN,97
autorka/NOUN,98
autorstvo/NOUN,99
autíčko/NOUN,100
azyl/NOUN,101
babka/NOUN,102
bahno/NOUN,103
baktéria/NOUN,104
balada/NOUN,105
balenie/NOUN,106
balkón/NOUN,107
balík/NOUN,108
balíček/NOUN,109
balónik/NOUN,110
banda/NOUN,111
bandita/NOUN,112
banka/NOUN,113
banket/NOUN,114
bankovka/NOUN,115
banán/NOUN,116
baník/NOUN,117
baran/NOUN,118
baranidlo/NOUN,119
barbar/NOUN,120
barla/NOUN,121
baryón/NOUN,122
baterka/NOUN,123
batoh/NOUN,124
batožina/NOUN,125
batéria/NOUN,126
baza/NOUN,127
bazalka/NOUN,128
bazilika/NOUN,129
bazén/NOUN,130
baňa/NOUN,131
bašta/NOUN,132
bdenie/NOUN,133
beatnik/NOUN,134
beh/NOUN,135
bejzbal/NOUN,136
beletria/NOUN,137
bernolákovec/NOUN,138
bestseller/NOUN,139
betón/NOUN,140
bezdomovec/NOUN,141
bezmocnosť/NOUN,142
bezpečie/NOUN,143
bezpečnosť/NOUN,144
bezvedomie/NOUN,145
bezúhonnosť/NOUN,146
biblia/NOUN,147
biceps/NOUN,148
bicykel/NOUN,149
bielizeň/NOUN,150
biodiverzita/NOUN,151
biosféra/NOUN,152
biotechnológia/NOUN,153
biskup/NOUN,154
bitka/NOUN,155
bitva/NOUN,156
biznis/NOUN,157
blaha/NOUN,158
blaho/NOUN,159
blahobyt/NOUN,160
blaženosť/NOUN,161
bledosť/NOUN,162
blesk/NOUN,163
blok/NOUN,164
blues/NOUN,165
bláznovstvo/NOUN,166
blázon/NOUN,167
blízkosť/NOUN,168
blúzka/NOUN,169
bochník/NOUN,170
bocian/NOUN,171
bod/NOUN,172
bodka/NOUN,173
bodliak/NOUN,174
boh/NOUN,175
bohatstvo/NOUN,176
bohoslužba/NOUN,177
bohyňa/NOUN,178
boháč/NOUN,179
bohém/NOUN,180
boj/NOUN,181
bojisko/NOUN,182
bojovník/NOUN,183
bok/NOUN,184
bolesť/NOUN,185
bomba/NOUN,186
bombardovanie/NOUN,187
bonus/NOUN,188
borovica/NOUN,189
bosorka/NOUN,190
botanika/NOUN,191
bozk/NOUN,192
božskosť/NOUN,193
božstvo/NOUN,194
brada/NOUN,195
bralo/NOUN,196
brat/NOUN,197
bratanec/NOUN,198
bratstvo/NOUN,199
