lemma,cl
/NOUN,1
3d/NOUN,2
a/NOUN,3
absolvent/NOUN,4
absurdnost/NOUN,5
adaptacija/NOUN,6
administrator/NOUN,7
aeroklub/NOUN,8
afera/NOUN,9
agencija/NOUN,10
agent/NOUN,11
agentka/NOUN,12
agregat/NOUN,13
aids/NOUN,14
akademija/NOUN,15
akademik/NOUN,16
akcent/NOUN,17
akcija/NOUN,18
akreditacija/NOUN,19
aksel/NOUN,20
akt/NOUN,21
akter/NOUN,22
aktivist/NOUN,23
aktivnost/NOUN,24
aktualnost/NOUN,25
aktuar/NOUN,26
akumulator/NOUN,27
akupunktura/NOUN,28
albanščina/NOUN,29
album/NOUN,30
aleja/NOUN,31
alergija/NOUN,32
alfa/NOUN,33
alga/NOUN,34
algoritem/NOUN,35
aliansa/NOUN,36
alinea/NOUN,37
alkohol/NOUN,38
alkoholik/NOUN,39
alkoholizem/NOUN,40
alkotest/NOUN,41
alpine/NOUN,42
alpinist/NOUN,43
alter/NOUN,44
alternativa/NOUN,45
aluminij/NOUN,46
amandma/NOUN,47
amater/NOUN,48
ambasada/NOUN,49
ambicija/NOUN,50
ambient/NOUN,51
ambulanta/NOUN,52
amfetamin/NOUN,53
aminokislina/NOUN,54
anali/NOUN,55
analitik/NOUN,56
analiza/NOUN,57
analogija/NOUN,58
ananas/NOUN,59
anatomija/NOUN,60
anekdota/NOUN,61
angelček/NOUN,62
angleščina/NOUN,63
anketa/NOUN,64
anketiranec/NOUN,65
anomalija/NOUN,66
ansambel/NOUN,67
antena/NOUN,68
antibiotik/NOUN,69
antika/NOUN,70
antirevmatik/NOUN,71
antologija/NOUN,72
antrakinon/NOUN,73
antropolog/NOUN,74
aparat/NOUN,75
apetit/NOUN,76
aplavz/NOUN,77
aplikacija/NOUN,78
apoptoza/NOUN,79
aporija/NOUN,80
april/NOUN,81
arabščina/NOUN,82
arbitraža/NOUN,83
arboretum/NOUN,84
arena/NOUN,85
aretacija/NOUN,86
arginin/NOUN,87
argument/NOUN,88
arheolog/NOUN,89
arheologija/NOUN,90
arhitekt/NOUN,91
arhiv/NOUN,92
aristokracija/NOUN,93
arkada/NOUN,94
armada/NOUN,95
aroma/NOUN,96
arterija/NOUN,97
arterioskleroza/NOUN,98
artikel/NOUN,99
artikulacija/NOUN,100
arzenal/NOUN,101
as/NOUN,102
asfalt/NOUN,103
asociacija/NOUN,104
astma/NOUN,105
astronavt/NOUN,106
astronom/NOUN,107
atelje/NOUN,108
atentat/NOUN,109
atlas/NOUN,110
atlet/NOUN,111
atletinja/NOUN,112
atom/NOUN,113
atrakcija/NOUN,114
atribut/NOUN,115
atrij/NOUN,116
avantgarda/NOUN,117
avantura/NOUN,118
avanturist/NOUN,119
avdienca/NOUN,120
avditorij/NOUN,121
avgust/NOUN,122
avla/NOUN,123
avra/NOUN,124
avto/NOUN,125
avtobus/NOUN,126
avtocesta/NOUN,127
avtomat/NOUN,128
avtomatizacija/NOUN,129
avtomobil/NOUN,130
avtor/NOUN,131
avtoradio/NOUN,132
avtorica/NOUN,133
avtoriteta/NOUN,134
avtošola/NOUN,135
azilant/NOUN,136
b/NOUN,137
baba/NOUN,138
babica/NOUN,139
bajta/NOUN,140
bakla/NOUN,141
bakterija/NOUN,142
bala/NOUN,143
balada/NOUN,144
balast/NOUN,145
balet/NOUN,146
baletka/NOUN,147
balinanje/NOUN,148
balkon/NOUN,149
balvan/NOUN,150
balzam/NOUN,151
bambus/NOUN,152
banana/NOUN,153
banka/NOUN,154
bankovec/NOUN,155
bankrot/NOUN,156
bančništvo/NOUN,157
bar/NOUN,158
baraka/NOUN,159
barbika/NOUN,160
bariera/NOUN,161
baritonist/NOUN,162
barje/NOUN,163
barka/NOUN,164
baronica/NOUN,165
barva/NOUN,166
barvilo/NOUN,167
bas/NOUN,168
basist/NOUN,169
baterija/NOUN,170
baza/NOUN,171
bazar/NOUN,172
bazen/NOUN,173
bdp/NOUN,174
beda/NOUN,175
bedak/NOUN,176
bedarija/NOUN,177
beg/NOUN,178
begunec/NOUN,179
beleženje/NOUN,180
beljakovina/NOUN,181
beluš/NOUN,182
bencin/NOUN,183
bend/NOUN,184
berač/NOUN,185
beril/NOUN,186
berilo/NOUN,187
bes/NOUN,188
beseda/NOUN,189
besedica/NOUN,190
besedilo/NOUN,191
besednjak/NOUN,192
besnenje/NOUN,193
beton/NOUN,194
bienale/NOUN,195
bife/NOUN,196
big/NOUN,197
bik/NOUN,198
bikoborec/NOUN,199
bilanca/NOUN,200
bilijon/NOUN,201
biljard/NOUN,202
bilka/NOUN,203
bilten/NOUN,204
biografija/NOUN,205
biolog/NOUN,206
biologija/NOUN,207
biologizem/NOUN,208
biomasa/NOUN,209
biotehnologija/NOUN,210
birma/NOUN,211
biro/NOUN,212
biser/NOUN,213
bistro/NOUN,214
bistvo/NOUN,215
bitje/NOUN,216
bitka/NOUN,217
bivak/NOUN,218
bivališče/NOUN,219
bivanje/NOUN,220
bivol/NOUN,221
biznis/NOUN,222
blagajna/NOUN,223
blaginja/NOUN,224
blago/NOUN,225
blagor/NOUN,226
blagoslov/NOUN,227
blagovnica/NOUN,228
blato/NOUN,229
blazina/NOUN,230
blaznost/NOUN,231
blažilnik/NOUN,232
bližina/NOUN,233
bližnjica/NOUN,234
blok/NOUN,235
blokada/NOUN,236
blondinka/NOUN,237
blues/NOUN,238
bluza/NOUN,239
boben/NOUN,240
bodica/NOUN,241
body/NOUN,242
boem/NOUN,243
bog/NOUN,244
bogastvo/NOUN,245
bogataš/NOUN,246
boginja/NOUN,247
boj/NOUN,248
bojazen/NOUN,249
bojevnik/NOUN,250
bojkot/NOUN,251
bok/NOUN,252
bolest/NOUN,253
bolezen/NOUN,254
bolečina/NOUN,255
bolnica/NOUN,256
bolnik/NOUN,257
bolničar/NOUN,258
bolničarka/NOUN,259
bolnišnica/NOUN,260
bomba/NOUN,261
bombardiranje/NOUN,262
bombnik/NOUN,263
bon/NOUN,264
borba/NOUN,265
borbenost/NOUN,266
borec/NOUN,267
borovec/NOUN,268
borovnica/NOUN,269
borza/NOUN,270
boter/NOUN,271
božanstvo/NOUN,272
božič/NOUN,273
brada/NOUN,274
bradavica/NOUN,275
brahman/NOUN,276
bralec/NOUN,277
bralka/NOUN,278
bramba/NOUN,279
branilec/NOUN,280
branje/NOUN,281
branjenje/NOUN,282
brat/NOUN,283
bratec/NOUN,284
bratovščina/NOUN,285
bratranec/NOUN,286
brdo/NOUN,287
breg/NOUN,288
breme/NOUN,289
brenčanje/NOUN,290
breza/NOUN,291
brezdelje/NOUN,292
brezdomec/NOUN,293
brezno/NOUN,294
brezposelnost/NOUN,295
brezpotje/NOUN,296
brigada/NOUN,297
brin/NOUN,298
brisača/NOUN,299
brivec/NOUN,300
brizgalka/NOUN,301
brizgalna/NOUN,302
brk/NOUN,303
brlog/NOUN,304
brod/NOUN,305
brodolom/NOUN,306
bron/NOUN,307
brskalnik/NOUN,308
brskanje/NOUN,309
brstič/NOUN,310
brv/NOUN,311
brzica/NOUN,312
bršljan/NOUN,313
bukev/NOUN,314
bunker/NOUN,315
buržoazija/NOUN,316
buča/NOUN,317
bučka/NOUN,318
c/NOUN,319
carina/NOUN,320
carinik/NOUN,321
carstvo/NOUN,322
cd/NOUN,323
cekar/NOUN,324
celica/NOUN,325
celina/NOUN,326
celota/NOUN,327
celovečerec/NOUN,328
celuloza/NOUN,329
cena/NOUN,330
cenilec/NOUN,331
center/NOUN,332
centimeter/NOUN,333
centrala/NOUN,334
cepitev/NOUN,335
cepič/NOUN,336
cepljenje/NOUN,337
ceremonial/NOUN,338
cerkev/NOUN,339
cerkvica/NOUN,340
certifikat/NOUN,341
cesar/NOUN,342
cesarstvo/NOUN,343
cesta/NOUN,344
cev/NOUN,345
cevka/NOUN,346
ciciban/NOUN,347
cigara/NOUN,348
cigareta/NOUN,349
cikcak/NOUN,350
cikel/NOUN,351
ciklama/NOUN,352
ciklus/NOUN,353
cilj/NOUN,354
cinizem/NOUN,355
ciphertext/NOUN,356
