lemma,cl
/NOUN,1
100-tal/NOUN,2
10000-tal/NOUN,3
12-våningshus/NOUN,4
1200-tal/NOUN,5
1300-tal/NOUN,6
1400-tal/NOUN,7
15-årsperiod/NOUN,8
1500-tal/NOUN,9
1600-tal/NOUN,10
1700-tal/NOUN,11
18-åring/NOUN,12
1800-tal/NOUN,13
1850-tal/NOUN,14
1890-tal/NOUN,15
1900-tal/NOUN,16
1920-tal/NOUN,17
1940-tal/NOUN,18
1950-tal/NOUN,19
1960-tal/NOUN,20
1970-tal/NOUN,21
1980-tal/NOUN,22
1990-tal/NOUN,23
20-tal/NOUN,24
20-årsålder/NOUN,25
200-tal/NOUN,26
2000-tal/NOUN,27
30-tal/NOUN,28
400-tal/NOUN,29
5-årsperiod/NOUN,30
50-tal/NOUN,31
500-tal/NOUN,32
6-åring/NOUN,33
60-tal/NOUN,34
70-tal/NOUN,35
700-tal/NOUN,36
800-tal/NOUN,37
a/NOUN,38
a)/NOUN,39
a./NOUN,40
ab/NOUN,41
abc/NOUN,42
aborigin/NOUN,43
abort/NOUN,44
abortfråga/NOUN,45
abortlagstiftning/NOUN,46
absid/NOUN,47
abstraktion/NOUN,48
academy/NOUN,49
acceleration/NOUN,50
accent/NOUN,51
acceptans/NOUN,52
accepterande/NOUN,53
ackompanjemang/NOUN,54
ackord/NOUN,55
action/NOUN,56
adel/NOUN,57
adelstitel/NOUN,58
administration/NOUN,59
administratör/NOUN,60
adoptionsfråga/NOUN,61
adress/NOUN,62
adressat/NOUN,63
advokat/NOUN,64
affisch/NOUN,65
affär/NOUN,66
affärsavtal/NOUN,67
affärsbank/NOUN,68
affärsman/NOUN,69
affärsresa/NOUN,70
afrikan/NOUN,71
afton/NOUN,72
aftonskola/NOUN,73
aftontidning/NOUN,74
agenda/NOUN,75
agent/NOUN,76
agerande/NOUN,77
agg/NOUN,78
aggregat/NOUN,79
aggression/NOUN,80
aggressivitet/NOUN,81
aids/NOUN,82
air/NOUN,83
akademiker/NOUN,84
akt/NOUN,85
akter/NOUN,86
aktiemarknad/NOUN,87
aktion/NOUN,88
aktivitet/NOUN,89
aktris/NOUN,90
aktör/NOUN,91
akutbehandling/NOUN,92
akvarium/NOUN,93
akvavit/NOUN,94
album/NOUN,95
alfabet/NOUN,96
alfastrålning/NOUN,97
alg/NOUN,98
algodling/NOUN,99
alkalimetall/NOUN,100
alkohol/NOUN,101
alkoholism/NOUN,102
alkoholist/NOUN,103
allergi/NOUN,104
allhelgonadag/NOUN,105
allians/NOUN,106
allmosa/NOUN,107
allmänbildning/NOUN,108
allmänhet/NOUN,109
allmänning/NOUN,110
allmäntillstånd/NOUN,111
allsmäktighet/NOUN,112
allvar/NOUN,113
alster/NOUN,114
alstring/NOUN,115
alternativ/NOUN,116
ambassad/NOUN,117
ambassadör/NOUN,118
ambition/NOUN,119
ambitionsnivå/NOUN,120
ambulans/NOUN,121
amerikanare/NOUN,122
amfetamin/NOUN,123
aminosyra/NOUN,124
amiral/NOUN,125
ammunition/NOUN,126
amning/NOUN,127
amulett/NOUN,128
analfabet/NOUN,129
analfabetism/NOUN,130
analys/NOUN,131
analytiker/NOUN,132
analöppning/NOUN,133
anarki/NOUN,134
anblick/NOUN,135
anbud/NOUN,136
anbudsgivning/NOUN,137
and/NOUN,138
anda/NOUN,139
ande/NOUN,140
andedräkt/NOUN,141
andel/NOUN,142
andelsägare/NOUN,143
andetag/NOUN,144
andhämtning/NOUN,145
anekdot/NOUN,146
anfall/NOUN,147
anförande/NOUN,148
angelägenhet/NOUN,149
angrepp/NOUN,150
angreppssätt/NOUN,151
anhalt/NOUN,152
anhopning/NOUN,153
anhängare/NOUN,154
anhörig/NOUN,155
aning/NOUN,156
anka/NOUN,157
ankare/NOUN,158
ankarplats/NOUN,159
anknytning/NOUN,160
ankomst/NOUN,161
anlag/NOUN,162
anledning/NOUN,163
anlete/NOUN,164
anletsdrag/NOUN,165
anläggning/NOUN,166
anläggningskostnad/NOUN,167
anmälan/NOUN,168
anmärkning/NOUN,169
annan/NOUN,170
annanstans/NOUN,171
anordning/NOUN,172
anpassning/NOUN,173
anpassningsproblem/NOUN,174
ansamling/NOUN,175
ansats/NOUN,176
anseende/NOUN,177
ansikte/NOUN,178
ansiktshud/NOUN,179
ansiktsuttryck/NOUN,180
anslag/NOUN,181
anslutning/NOUN,182
anspelning/NOUN,183
anspråk/NOUN,184
anstalt/NOUN,185
anstrykning/NOUN,186
ansträngning/NOUN,187
anställd/NOUN,188
anställning/NOUN,189
anständighet/NOUN,190
ansvar/NOUN,191
ansvarsbörda/NOUN,192
ansvarsområde/NOUN,193
ansvarstagande/NOUN,194
ansökan/NOUN,195
antagande/NOUN,196
antal/NOUN,197
anteckning/NOUN,198
anteckningsblock/NOUN,199
anteckningsbok/NOUN,200
antenn/NOUN,201
antik/NOUN,202
antikvarie/NOUN,203
antikvitet/NOUN,204
antirökningskampanj/NOUN,205
antisemitism/NOUN,206
antropolog/NOUN,207
antydning/NOUN,208
anvisning/NOUN,209
användande/NOUN,210
användare/NOUN,211
användargränssnitt/NOUN,212
användarnamn/NOUN,213
användbarhet/NOUN,214
användning/NOUN,215
användningsområde/NOUN,216
apa/NOUN,217
apati/NOUN,218
apostel/NOUN,219
apostrof/NOUN,220
apotek/NOUN,221
apotekare/NOUN,222
app/NOUN,223
apparat/NOUN,224
apparatur/NOUN,225
applåd/NOUN,226
approach/NOUN,227
april/NOUN,228
aptit/NOUN,229
arab/NOUN,230
arabisk/NOUN,231
arabiska/NOUN,232
arabvärld/NOUN,233
arbetare/NOUN,234
arbetarfamilj/NOUN,235
arbetarklass/NOUN,236
arbetarkvinna/NOUN,237
arbetarparti/NOUN,238
arbetarrörelse/NOUN,239
arbete/NOUN,240
arbetsbi/NOUN,241
arbetsbörda/NOUN,242
arbetsdag/NOUN,243
arbetsform/NOUN,244
arbetsfördelning/NOUN,245
arbetsförhållande/NOUN,246
arbetsförmedling/NOUN,247
arbetsförmåga/NOUN,248
arbetsgivaravgift/NOUN,249
arbetsgivare/NOUN,250
arbetsgivarförening/NOUN,251
arbetsgrupp/NOUN,252
arbetsinkomst/NOUN,253
arbetsinsats/NOUN,254
arbetskapacitet/NOUN,255
arbetskläder/NOUN,256
arbetskraft/NOUN,257
arbetskraftsundersökning/NOUN,258
arbetslag/NOUN,259
arbetsliv/NOUN,260
arbetslöshet/NOUN,261
arbetslöshetsförsäkring/NOUN,262
arbetslöshetskassa/NOUN,263
arbetsmarknad/NOUN,264
arbetsmarknadsfråga/NOUN,265
arbetsmarknadspart/NOUN,266
arbetsmarknadsstyrelse/NOUN,267
arbetsmarknadsverket/NOUN,268
arbetsmaterial/NOUN,269
arbetsmetod/NOUN,270
arbetsmiljö/NOUN,271
arbetsmöjlighet/NOUN,272
arbetsområde/NOUN,273
arbetsordning/NOUN,274
arbetspass/NOUN,275
arbetsplan/NOUN,276
arbetsplats/NOUN,277
arbetsplatsområde/NOUN,278
arbetsredskap/NOUN,279
arbetsrum/NOUN,280
arbetsråd/NOUN,281
arbetsstyrka/NOUN,282
arbetssätt/NOUN,283
arbetstagare/NOUN,284
arbetstakt/NOUN,285
arbetstid/NOUN,286
arbetstidsförkortning/NOUN,287
arbetstillfälle/NOUN,288
arbetstillstånd/NOUN,289
arbetsuppgift/NOUN,290
arbetsyta/NOUN,291
areal/NOUN,292
arena/NOUN,293
argument/NOUN,294
argumentering/NOUN,295
