lemma,cl
/NOUN,1
1600/NOUN,2
1911/NOUN,3
1912/NOUN,4
1916/NOUN,5
1918/NOUN,6
1961/NOUN,7
1969/NOUN,8
1977/NOUN,9
1979/NOUN,10
1984/NOUN,11
1987/NOUN,12
1988/NOUN,13
1991/NOUN,14
1992/NOUN,15
1993/NOUN,16
1997/NOUN,17
1998/NOUN,18
20/NOUN,19
2003/NOUN,20
2004/NOUN,21
2007/NOUN,22
2011/NOUN,23
2012/NOUN,24
2015/NOUN,25
50/NOUN,26
a/NOUN,27
ab/NOUN,28
abajur/NOUN,29
abanoz/NOUN,30
abd/NOUN,31
abi/NOUN,32
abis/NOUN,33
abla/NOUN,34
abonelik/NOUN,35
acele/NOUN,36
acelecilik/NOUN,37
acente/NOUN,38
acı/NOUN,39
ad/NOUN,40
ada/NOUN,41
adalar/NOUN,42
adaları/NOUN,43
adale/NOUN,44
adalet/NOUN,45
adam/NOUN,46
adas/NOUN,47
adası/NOUN,48
aday/NOUN,49
adaylık/NOUN,50
adayı/NOUN,51
adet/NOUN,52
adlandır/NOUN,53
adliye/NOUN,54
adres/NOUN,55
adım/NOUN,56
af/NOUN,57
afiş/NOUN,58
afrikalı/NOUN,59
afyon/NOUN,60
aga/NOUN,61
ah/NOUN,62
ahali/NOUN,63
ahiret/NOUN,64
aids/NOUN,65
aile/NOUN,66
ajan/NOUN,67
ajans/NOUN,68
ajansı/NOUN,69
ak/NOUN,70
akademi/NOUN,71
akademisi/NOUN,72
akademisyen/NOUN,73
akciğer/NOUN,74
aklık/NOUN,75
akort/NOUN,76
akraba/NOUN,77
aksi/NOUN,78
aksilik/NOUN,79
aksiyom/NOUN,80
aktarım/NOUN,81
aktivite/NOUN,82
aktris/NOUN,83
akı/NOUN,84
akıl/NOUN,85
akım/NOUN,86
akış/NOUN,87
akşam/NOUN,88
akşamüst/NOUN,89
al/NOUN,90
alacak/NOUN,91
alan/NOUN,92
alar/NOUN,93
alarm/NOUN,94
alay/NOUN,95
albay/NOUN,96
albüm/NOUN,97
aldatmaca/NOUN,98
alem/NOUN,99
alet/NOUN,100
aleyh/NOUN,101
alfa/NOUN,102
alfabe/NOUN,103
algı/NOUN,104
alim/NOUN,105
alkol/NOUN,106
allah/NOUN,107
alma/NOUN,108
alt/NOUN,109
alternatif/NOUN,110
alternatifi/NOUN,111
alternatiif/NOUN,112
altyapı/NOUN,113
altı/NOUN,114
altın/NOUN,115
alıcı/NOUN,116
alım/NOUN,117
alın/NOUN,118
alınmas/NOUN,119
alıntı/NOUN,120
alış/NOUN,121
alışkanlık/NOUN,122
alıştırma/NOUN,123
alışveriş/NOUN,124
amazon/NOUN,125
amaç/NOUN,126
amaçla/NOUN,127
ambalaj/NOUN,128
ambar/NOUN,129
amca/NOUN,130
ameliyad/NOUN,131
ameliyat/NOUN,132
amerikal/NOUN,133
amerikan/NOUN,134
amin/NOUN,135
amir/NOUN,136
ampul/NOUN,137
an/NOUN,138
ana/NOUN,139
anahtar/NOUN,140
anal/NOUN,141
analiz/NOUN,142
analizci/NOUN,143
anayasa/NOUN,144
anayol/NOUN,145
and/NOUN,146
anket/NOUN,147
anla/NOUN,148
anlam/NOUN,149
anlat/NOUN,150
anlatım/NOUN,151
anlayış/NOUN,152
anlaş/NOUN,153
anlaşma/NOUN,154
anlaşmazlık/NOUN,155
anlaşıl/NOUN,156
anlık/NOUN,157
anne/NOUN,158
anneanne/NOUN,159
anonim/NOUN,160
anormallik/NOUN,161
anten/NOUN,162
antibiyotik/NOUN,163
antitez/NOUN,164
antlaş/NOUN,165
antlaşma/NOUN,166
antoloji/NOUN,167
antropolog/NOUN,168
antropoloji/NOUN,169
antropolojik/NOUN,170
anı/NOUN,171
anıt/NOUN,172
apandis/NOUN,173
apandisit/NOUN,174
apartman/NOUN,175
apsis/NOUN,176
ar/NOUN,177
ara/NOUN,178
araba/NOUN,179
aracı/NOUN,180
aracılık/NOUN,181
aralık/NOUN,182
arama/NOUN,183
arayüz/NOUN,184
arayış/NOUN,185
arazi/NOUN,186
araziyi/NOUN,187
araç/NOUN,188
araştır/NOUN,189
araştırma/NOUN,190
araştırmacı/NOUN,191
ardıç/NOUN,192
arena/NOUN,193
argo/NOUN,194
arka/NOUN,195
arkadaş/NOUN,196
arkadaşlık/NOUN,197
armağan/NOUN,198
