lemma,cl
/NOUN,1
ئائىلە/NOUN,2
ئابىدە/NOUN,3
ئات/NOUN,4
ئاتا/NOUN,5
ئاتالغۇ/NOUN,6
ئاجىز/NOUN,7
ئادا/NOUN,8
ئادەم/NOUN,9
ئارال/NOUN,10
ئارتۇق/NOUN,11
ئارزۇ/NOUN,12
ئارغامچا/NOUN,13
ئارقا/NOUN,14
ئارقىدا/NOUN,15
ئارمىيە/NOUN,16
ئاساس/NOUN,17
ئاسمان/NOUN,18
ئاغرىق/NOUN,19
ئالاقە/NOUN,20
ئالاھىدىلىك/NOUN,21
ئالتۇن/NOUN,22
ئالغا/NOUN,23
ئالما/NOUN,24
ئالىم/NOUN,25
ئالەم/NOUN,26
ئامال/NOUN,27
ئامىل/NOUN,28
ئامەت/NOUN,29
ئانا/NOUN,30
ئاي/NOUN,31
ئاياق/NOUN,32
ئايال/NOUN,33
ئاپتوموبىل/NOUN,34
ئاپپارات/NOUN,35
ئاپەت/NOUN,36
ئاڭ/NOUN,37
ئاھالە/NOUN,38
ئاۋاز/NOUN,39
ئاۋام/NOUN,40
ئوبراز/NOUN,41
ئوت/NOUN,42
ئوتتۇرا/NOUN,43
ئورمان/NOUN,44
ئورۇن/NOUN,45
ئورۇندۇق/NOUN,46
ئوزۇق/NOUN,47
ئوزۇقلۇق/NOUN,48
ئوغرى/NOUN,49
ئوغۇل/NOUN,50
ئوقۇتقۇچى/NOUN,51
ئوقۇش/NOUN,52
ئوقۇغۇچى/NOUN,53
ئومۇمىي/NOUN,54
ئويمانلىق/NOUN,55
ئويۇن/NOUN,56
ئوۋ/NOUN,57
ئىئانە/NOUN,58
ئىجادىيەت/NOUN,59
ئىجارە/NOUN,60
ئىدارە/NOUN,61
ئىدىيە/NOUN,62
ئىرادە/NOUN,63
ئىز/NOUN,64
ئىستەك/NOUN,65
ئىسىم/NOUN,66
ئىش/NOUN,67
ئىشتىياق/NOUN,68
ئىشخانا/NOUN,69
ئىشىك/NOUN,70
ئىشەنچ/NOUN,71
ئىلمىي/NOUN,72
ئىلىم/NOUN,73
ئىلگىرى/NOUN,74
ئىنسان/NOUN,75
ئىنسانلىق/NOUN,76
ئىنسانىيەت/NOUN,77
ئىنكاس/NOUN,78
ئىگىلىك/NOUN,79
ئىگە/NOUN,80
ئۆتكۈر/NOUN,81
ئۆستەڭ/NOUN,82
ئۆسۈملۈك/NOUN,83
ئۆلكە/NOUN,84
ئۆلۈم/NOUN,85
ئۆمۈر/NOUN,86
ئۆي/NOUN,87
ئۆچ/NOUN,88
ئۆگىنىش/NOUN,89
ئۇرۇش/NOUN,90
ئۇرۇقداشلىق/NOUN,91
ئۇزاققىچە/NOUN,92
ئۇسسۇل/NOUN,93
ئۇسۇل/NOUN,94
ئۇل/NOUN,95
ئۇلۇغ/NOUN,96
ئۇلۇغلۇق/NOUN,97
ئۇن/NOUN,98
ئۇنىۋېرسال/NOUN,99
ئۇنىۋېرسىتېت/NOUN,100
ئۇيغۇر/NOUN,101
ئۇچۇر/NOUN,102
ئۈزۈم/NOUN,103
ئۈمىد/NOUN,104
ئۈنۈم/NOUN,105
ئۈچىنچى/NOUN,106
ئېتىبار/NOUN,107
ئېتىقاد/NOUN,108
ئېسىل/NOUN,109
ئېغىرلىق/NOUN,110
ئېغىز/NOUN,111
ئېقىن/NOUN,112
ئېلان/NOUN,113
ئېنىقلىق/NOUN,114
ئېھتىيات/NOUN,115
ئەتراپ/NOUN,116
ئەترەت/NOUN,117
ئەجىر/NOUN,118
ئەخلاق/NOUN,119
ئەخمەقلىق/NOUN,120
ئەدەبىيات/NOUN,121
ئەر/NOUN,122
ئەركەك/NOUN,123
ئەزا/NOUN,124
ئەس/NOUN,125
ئەسىر/NOUN,126
ئەسەر/NOUN,127
ئەقىدە/NOUN,128
ئەقىل/NOUN,129
ئەكس/NOUN,130
ئەل/NOUN,131
ئەمدى/NOUN,132
ئەمگەك/NOUN,133
ئەمەل/NOUN,134
ئەمەلدار/NOUN,135
ئەمەلىيەت/NOUN,136
ئەينى/NOUN,137
ئەينەك/NOUN,138
ئەپۇ/NOUN,139
ئەھمىيەت/NOUN,140
ئەھۋال/NOUN,141
ئەۋج/NOUN,142
ئەۋلاد/NOUN,143
باتۇر/NOUN,144
بادام/NOUN,145
بارلىق/NOUN,146
بارماق/NOUN,147
بازار/NOUN,148
باسقۇچ/NOUN,149
باش/NOUN,150
باشقۇرغۇچى/NOUN,151
باشلىق/NOUN,152
باغ/NOUN,153
بالا/NOUN,154
باي/NOUN,155
بايان/NOUN,156
بايرام/NOUN,157
باھا/NOUN,158
بور/NOUN,159
بوران/NOUN,160
بوستانلىق/NOUN,161
بوشلۇق/NOUN,162
بوياق/NOUN,163
بويۇن/NOUN,164
بىخ/NOUN,165
بىلىم/NOUN,166
بۆلۈم/NOUN,167
بۇرچ/NOUN,168
بۇقا/NOUN,169
بۇلۇت/NOUN,170
بۇلۇڭ/NOUN,171
بۇيۇم/NOUN,172
بېرى/NOUN,173
بېسىم/NOUN,174
بېلىق/NOUN,175
بەت/NOUN,176
بەخت/NOUN,177
بەدەل/NOUN,178
بەدەن/NOUN,179
تارماق/NOUN,180
تارىخ/NOUN,181
تاش/NOUN,182
تاغ/NOUN,183
تاغا/NOUN,184
تال/NOUN,185
تام/NOUN,186
تاماق/NOUN,187
تاۋار/NOUN,188
توختام/NOUN,189
تور/NOUN,190
توغرا/NOUN,191
توغرىلىق/NOUN,192
توقاي/NOUN,193
توي/NOUN,194
تىل/NOUN,195
تۆمۈر/NOUN,196
تۆگە/NOUN,197
تۆھپە/NOUN,198
تۆۋەن/NOUN,199
تۇخۇم/NOUN,200
تۇرمۇش/NOUN,201
تۇغما/NOUN,202
تۇپراق/NOUN,203
تۈر/NOUN,204
تۈرتكە/NOUN,205
تۈرك/NOUN,206
تۈزۈم/NOUN,207
تۈس/NOUN,208
تۈك/NOUN,209
تۈلكە/NOUN,210
تۈۋرۈك/NOUN,211
تېخنىك/NOUN,212
تېخنىكا/NOUN,213
تېرىقچىلىق/NOUN,214
تېرىلغۇ/NOUN,215
تېرە/NOUN,216
تېلېفون/NOUN,217
تېلېگراف/NOUN,218
تېلېۋىزور/NOUN,219
تېمپېراتۇرا/NOUN,220
تەبىئەت/NOUN,221
تەتقىقات/NOUN,222
تەتىل/NOUN,223
تەجرىبىخانا/NOUN,224
تەجرىبە/NOUN,225
تەخت/NOUN,226
تەخسە/NOUN,227
تەربىيە/NOUN,228
تەرەققىيات/NOUN,229
تەرەپ/NOUN,230
تەسىر/NOUN,231
تەسىرات/NOUN,232
تەسەللى/NOUN,233
تەسەۋۋۇر/NOUN,234
تەشەببۇس/NOUN,235
تەقدىر/NOUN,236
تەلىم/NOUN,237
تەمسىل/NOUN,238
تەن/NOUN,239
تەنتەربىيە/NOUN,240
تەييارلىق/NOUN,241
تەپەككۇر/NOUN,242
تەڭ/NOUN,243
تەھدىت/NOUN,244
جازا/NOUN,245
جاسارەت/NOUN,246
جام/NOUN,247
جامائەت/NOUN,248
جان/NOUN,249
جاي/NOUN,250
جايىدا/NOUN,251
جاپا/NOUN,252
جاۋاب/NOUN,253
جىسىم/NOUN,254
جىيەك/NOUN,255
جۇڭخۇا/NOUN,256
جۈرئەت/NOUN,257
جۈملە/NOUN,258
جېدەل/NOUN,259
جەمئىيەت/NOUN,260
جەنۇب/NOUN,261
خاتا/NOUN,262
خاتالىق/NOUN,263
خادىم/NOUN,264
خانلىق/NOUN,265
خاپا/NOUN,266
خوتۇن/NOUN,267
خوجا/NOUN,268
خىزمەت/NOUN,269
خىل/NOUN,270
خىيال/NOUN,271
خۇشاللىق/NOUN,272
خېرىدار/NOUN,273
خەت/NOUN,274
خەلق/NOUN,275
خەلقئارالىق/NOUN,276
خەۋەر/NOUN,277
دادا/NOUN,278
دالا/NOUN,279
دانە/NOUN,280
دوختۇر/NOUN,281
دورا/NOUN,282
دوستلۇق/NOUN,283
دوكلات/NOUN,284
دولقۇن/NOUN,285
دوپپا/NOUN,286
دىققەت/NOUN,287
دۆلەت/NOUN,288
دۇكان/NOUN,289
دۇنيا/NOUN,290
دېڭىز/NOUN,291
دېگۈدەك/NOUN,292
دەرد/NOUN,293
دەرس/NOUN,294
دەرىجە/NOUN,295
دەريا/NOUN,296
دەرۋازا/NOUN,297
دەرەخ/NOUN,298
دەسلەپكى/NOUN,299
دەڭ/NOUN,300
دەۋر/NOUN,301
رايون/NOUN,302
رول/NOUN,303
روھ/NOUN,304
روھىيەت/NOUN,305
رىۋايەت/NOUN,306
رېئاللىق/NOUN,307
رېمونت/NOUN,308
رەت/NOUN,309
رەخت/NOUN,310
رەسسام/NOUN,311
رەسمىيەت/NOUN,312
رەسىم/NOUN,313
رەڭ/NOUN,314
رەڭگى/NOUN,315
زال/NOUN,316
زامان/NOUN,317
زور/NOUN,318
زىرائەت/NOUN,319
زىلزىلە/NOUN,320
زىيارەت/NOUN,321
زىياپەت/NOUN,322
زۇۋان/NOUN,323
زېمىن/NOUN,324
زېھنىي/NOUN,325
زەمبىرەك/NOUN,326
سائەت/NOUN,327
سادا/NOUN,328
ساراي/NOUN,329
ساقال/NOUN,330
ساقاللىق/NOUN,331
ساقچى/NOUN,332
سالماق/NOUN,333
سان/NOUN,334
سانائەت/NOUN,335
