lemma,cl
/NOUN,1
-/NOUN,2
1920-й/NOUN,3
1930-й/NOUN,4
5/NOUN,5
абзац/NOUN,6
абонент/NOUN,7
абрикос/NOUN,8
абсурд/NOUN,9
аварія/NOUN,10
авт/NOUN,11
авто/NOUN,12
автобус/NOUN,13
автограф/NOUN,14
автокатастрофа/NOUN,15
автомат/NOUN,16
автомобіль/NOUN,17
автономність/NOUN,18
автопарк/NOUN,19
автопілот/NOUN,20
автор/NOUN,21
авторка/NOUN,22
авторство/NOUN,23
автотранспорт/NOUN,24
автошкола/NOUN,25
автошлях/NOUN,26
автівка/NOUN,27
авіазавод/NOUN,28
авіапромисловість/NOUN,29
авіація/NOUN,30
агат/NOUN,31
агент/NOUN,32
агентство/NOUN,33
агонія/NOUN,34
агресивність/NOUN,35
агресія/NOUN,36
агітація/NOUN,37
адвокат/NOUN,38
адвокатура/NOUN,39
адміністратор/NOUN,40
адміністрація/NOUN,41
адмірал/NOUN,42
адреса/NOUN,43
адресат/NOUN,44
аеродром/NOUN,45
аеропорт/NOUN,46
аес/NOUN,47
ажіотаж/NOUN,48
азбука/NOUN,49
азербайджанець/NOUN,50
азот/NOUN,51
ак/NOUN,52
акад./NOUN,53
академік/NOUN,54
академія/NOUN,55
акафіст/NOUN,56
акварель/NOUN,57
акомпанемент/NOUN,58
акредитація/NOUN,59
аксесуар/NOUN,60
акт/NOUN,61
актив/NOUN,62
активатор/NOUN,63
активація/NOUN,64
активність/NOUN,65
активізація/NOUN,66
активіст/NOUN,67
активістка/NOUN,68
актор/NOUN,69
акторка/NOUN,70
актриса/NOUN,71
актуальність/NOUN,72
акула/NOUN,73
акумулятор/NOUN,74
акцент/NOUN,75
акціонер/NOUN,76
акція/NOUN,77
алгоритм/NOUN,78
алкоголь/NOUN,79
алмаз/NOUN,80
алфавіт/NOUN,81
альбом/NOUN,82
альманах/NOUN,83
альтернатива/NOUN,84
алюзія/NOUN,85
аматор/NOUN,86
американець/NOUN,87
аметист/NOUN,88
амністія/NOUN,89
амплуа/NOUN,90
амплітуда/NOUN,91
амфетамін/NOUN,92
аналог/NOUN,93
аналогія/NOUN,94
аналіз/NOUN,95
