lemma,cl
/NOUN,1
!/NOUN,2
144/NOUN,3
158/NOUN,4
2007/NOUN,5
8.2/NOUN,6
ayk/NOUN,7
ء/NOUN,8
آ/NOUN,9
آؤٹ/NOUN,10
آئی/NOUN,11
آئین/NOUN,12
آب/NOUN,13
آبا/NOUN,14
آباد/NOUN,15
آبادی/NOUN,16
آبی/NOUN,17
آج/NOUN,18
آخر/NOUN,19
آخرت/NOUN,20
آدمی/NOUN,21
آرام/NOUN,22
آرمی/NOUN,23
آرٹس/NOUN,24
آرٹیکل/NOUN,25
آرڈر/NOUN,26
آزادی/NOUN,27
آسان/NOUN,28
آسانی/NOUN,29
آسمان/NOUN,30
آشرم/NOUN,31
آغاز/NOUN,32
آغوش/NOUN,33
آف/NOUN,34
آفس/NOUN,35
آفیسر/NOUN,36
آقا/NOUN,37
آل/NOUN,38
آلودگی/NOUN,39
آلہ/NOUN,40
آم/NOUN,41
آمد/NOUN,42
آمدنی/NOUN,43
آمر/NOUN,44
آن/NOUN,45
آنکھ/NOUN,46
آواز/NOUN,47
آوری/NOUN,48
آٹا/NOUN,49
آپریشن/NOUN,50
آپس/NOUN,51
آڈیٹر/NOUN,52
آڑ/NOUN,53
آکسیجن/NOUN,54
آگ/NOUN,55
آگاہ/NOUN,56
آگاہی/NOUN,57
آگہی/NOUN,58
آہنگی/NOUN,59
آیئنا/NOUN,60
آیت/NOUN,61
آیتِ/NOUN,62
اب/NOUN,63
ابتدا/NOUN,64
ابتداء/NOUN,65
ابلاغ/NOUN,66
ابنائے/NOUN,67
اتباع/NOUN,68
اتحاد/NOUN,69
اتحادی/NOUN,70
اتفاق/NOUN,71
اتوار/NOUN,72
اتھارٹی/NOUN,73
اثاثہ/NOUN,74
اثر/NOUN,75
اثنا/NOUN,76
اثناء/NOUN,77
اجازت/NOUN,78
اجتماع/NOUN,79
اجتماعیت/NOUN,80
اجتناب/NOUN,81
اجرا/NOUN,82
اجراء/NOUN,83
اجرت/NOUN,84
اجزا/NOUN,85
اجلاس/NOUN,86
اجنبی/NOUN,87
احاطہ/NOUN,88
احباب/NOUN,89
احتجاج/NOUN,90
احتجاجی/NOUN,91
