lemma,cl
/NOUN,1
&/NOUN,2
ai/NOUN,3
anh/NOUN,4
b/NOUN,5
ban/NOUN,6
bangkok/NOUN,7
bangladesh/NOUN,8
bao/NOUN,9
berlin/NOUN,10
bh/NOUN,11
bia/NOUN,12
bin/NOUN,13
biên/NOUN,14
biển/NOUN,15
bom/NOUN,16
box/NOUN,17
buồng/NOUN,18
buổi/NOUN,19
bv/NOUN,20
bà/NOUN,21
bài/NOUN,22
bàn/NOUN,23
bác/NOUN,24
bánh/NOUN,25
báo/NOUN,26
bãi/NOUN,27
bé/NOUN,28
bên/NOUN,29
bìa/NOUN,30
bình/NOUN,31
bò/NOUN,32
bóng/NOUN,33
bùa/NOUN,34
bùn/NOUN,35
bút/NOUN,36
băng/NOUN,37
bước/NOUN,38
bưởi/NOUN,39
bạn/NOUN,40
bạt/NOUN,41
bản/NOUN,42
bảng/NOUN,43
bầy/NOUN,44
bẫy/NOUN,45
bắc/NOUN,46
bằng/NOUN,47
bến/NOUN,48
bếp/NOUN,49
bề/NOUN,50
bệnh/NOUN,51
bọc/NOUN,52
bọn/NOUN,53
bố/NOUN,54
bồ/NOUN,55
bộ/NOUN,56
bột/NOUN,57
bờ/NOUN,58
bụi/NOUN,59
bụng/NOUN,60
bức/NOUN,61
bữa/NOUN,62
ca/NOUN,63
cam/NOUN,64
campuchia/NOUN,65
cao/NOUN,66
cd/NOUN,67
cha/NOUN,68
chai/NOUN,69
champasak/NOUN,70
chiếc/NOUN,71
chiết/NOUN,72
chiếu/NOUN,73
chiều/NOUN,74
chuyến/NOUN,75
chuyện/NOUN,76
chuông/NOUN,77
chuồng/NOUN,78
chuỗi/NOUN,79
chà/NOUN,80
chàng/NOUN,81
chày/NOUN,82
cháu/NOUN,83
cháy/NOUN,84
chân/NOUN,85
chè/NOUN,86
chén/NOUN,87
chí/NOUN,88
chòi/NOUN,89
chó/NOUN,90
chót/NOUN,91
chông/NOUN,92
chùa/NOUN,93
chú/NOUN,94
chúng/NOUN,95
chút/NOUN,96
chương/NOUN,97
chảo/NOUN,98
chất/NOUN,99
chỉ/NOUN,100
chị/NOUN,101
chồng/NOUN,102
chỗ/NOUN,103
